# Y2 Isochrone with Feh = -1.53, alpha=0.40, age=10.00
# Teff	logg
3639.988 4.848
3718.776 4.845
3799.269 4.842
3881.504 4.838
3965.519 4.834
4050.419 4.829
4137.138 4.824
4225.713 4.819
4315.191 4.814
4405.549 4.809
4497.799 4.803
4589.866 4.796
4683.818 4.790
4778.593 4.782
4874.162 4.775
4971.644 4.767
5069.907 4.759
5166.542 4.749
5261.384 4.734
5355.500 4.719
5448.789 4.701
5539.875 4.681
5629.891 4.658
5717.419 4.632
5798.291 4.601
5876.246 4.567
5953.879 4.532
6026.983 4.494
6096.773 4.453
6161.692 4.408
6225.869 4.364
6289.267 4.321
6350.384 4.276
6398.822 4.222
6415.049 4.154
6388.516 4.077
6316.842 4.003
6227.303 3.940
6131.970 3.886
6036.706 3.837
5942.922 3.793
5850.595 3.752
5762.355 3.713
5675.446 3.674
5594.999 3.631
5522.046 3.579
5462.608 3.519
5416.266 3.456
5381.459 3.391
5354.267 3.327
5329.666 3.264
5308.844 3.202
5290.540 3.141
5268.658 3.081
5248.075 3.022
5227.572 2.965
5208.348 2.908
5189.195 2.853
5170.113 2.798
5149.914 2.744
5128.614 2.691
5107.402 2.639
5086.277 2.588
5066.406 2.538
5044.289 2.489
5023.426 2.441
5003.801 2.393
4983.105 2.347
4963.637 2.301
4943.107 2.256
4923.795 2.212
4904.559 2.169
4884.274 2.127
4865.192 2.085
4847.301 2.044
4827.252 2.004
4807.286 1.964
4787.403 1.925
4767.602 1.887
4747.883 1.850
4729.334 1.813
4709.773 1.777
4691.373 1.742
4673.045 1.707
4654.789 1.673
4636.604 1.639
4618.490 1.606
4601.506 1.574
4583.529 1.542
4566.674 1.510
4549.881 1.480
4534.193 1.449
4517.519 1.419
4501.943 1.390
4485.388 1.361
4469.923 1.333
4454.511 1.305
4439.152 1.278
4423.846 1.251
4409.608 1.224
4394.404 1.198
4380.261 1.172
4366.164 1.147
4352.111 1.122
4338.104 1.097
4324.143 1.073
4311.218 1.050
4298.332 1.026
4285.485 1.003
4272.676 0.980
4259.906 0.958
4247.173 0.936
4234.479 0.914
4222.795 0.893
4211.143 0.872
4199.523 0.851
4187.936 0.831
4176.380 0.810
4164.856 0.791
4154.321 0.771
4142.858 0.752
4132.378 0.733
4121.924 0.714
4111.497 0.695
4102.041 0.677
4091.664 0.659
4082.254 0.641
4072.865 0.624
4063.498 0.606
4054.152 0.589
4044.827 0.572
4035.525 0.555
4027.170 0.539
4017.908 0.522
4009.590 0.506
4001.290 0.490
3993.006 0.475
3984.740 0.459
3976.491 0.444
3968.259 0.429
